chemical,protein,label
213043,ENSP00000418287,0
216239,ENSP00000264914,0
4742,ENSP00000221466,0
151069,ENSP00000384273,0
4205,ENSP00000261707,1
312,ENSP00000287766,1
2118,ENSP00000301071,0
4488,ENSP00000387536,0
6918638,ENSP00000362649,1
6918837,ENSP00000430432,1
9823820,ENSP00000361405,0
2131,ENSP00000302967,0
25880656,ENSP00000411593,0
2099,ENSP00000261349,0
5452,ENSP00000360372,1
1117,ENSP00000240100,1
23930,ENSP00000269980,1
5645,ENSP00000225371,0
5770,ENSP00000363512,0
16197727,ENSP00000447173,0
745,ENSP00000211122,1
5329102,ENSP00000419782,1
610479,ENSP00000363229,0
2854,ENSP00000310721,0
160,ENSP00000291294,1
134780,ENSP00000356070,0
5288209,ENSP00000350941,0
23994,ENSP00000231509,1
124886,ENSP00000345023,1
5691,ENSP00000278407,0
26757,ENSP00000265593,0
5472495,ENSP00000377947,0
3433,ENSP00000241453,0
667490,ENSP00000259271,0
11597571,ENSP00000296474,1
4196,ENSP00000337915,1
6037,ENSP00000301645,0
446512,ENSP00000232219,0
1051,ENSP00000245206,1
4547,ENSP00000347689,0
34521,ENSP00000350491,0
6305,ENSP00000332816,0
2783,ENSP00000306397,0
72271,ENSP00000344220,1
3086686,ENSP00000343204,1
71246,ENSP00000380157,0
15602694,ENSP00000236959,0
291,ENSP00000405455,0
5077,ENSP00000386456,0
125017,ENSP00000287936,0
2154,ENSP00000308622,0
5284549,ENSP00000309565,0
3392,ENSP00000263182,0
5267,ENSP00000303634,0
5582,ENSP00000267814,0
3547,ENSP00000333994,0
55245,ENSP00000337915,1
3657,ENSP00000222002,0
1613,ENSP00000243167,0
33624,ENSP00000287820,0
5097,ENSP00000419782,1
2968,ENSP00000252996,0
9823820,ENSP00000264613,0
4114,ENSP00000342007,1
9400,ENSP00000297373,0
4920,ENSP00000370129,1
3585,ENSP00000265689,1
57363,ENSP00000274192,1
3405,ENSP00000372023,0
66414,ENSP00000352702,0
5284549,ENSP00000345659,1
5556,ENSP00000219833,0
9400,ENSP00000373700,0
444020,ENSP00000447378,1
3038,ENSP00000457031,0
5314,ENSP00000411593,0
314,ENSP00000360939,1
38409,ENSP00000447378,0
934,ENSP00000292596,1
445643,ENSP00000369927,0
23994,ENSP00000337773,1
3042,ENSP00000384273,0
23994,ENSP00000447173,1
3823,ENSP00000328777,0
3038,ENSP00000291294,0
16132139,ENSP00000386284,0
2267,ENSP00000315212,0
6037,ENSP00000378191,0
5035,ENSP00000325120,1
596,ENSP00000381607,0
1117,ENSP00000306512,1
876,ENSP00000326227,0
2308,ENSP00000369519,0
4330,ENSP00000264657,0
4771,ENSP00000262340,0
3455,ENSP00000355645,0
6037,ENSP00000215773,0
23930,ENSP00000285379,0
24267,ENSP00000340330,0
16134896,ENSP00000262584,0
191,ENSP00000286621,1
1935,ENSP00000264381,1
25201794,ENSP00000303709,0
122316,ENSP00000312286,0
44093,ENSP00000379140,0
213023,ENSP00000362273,0
753,ENSP00000265462,1
2449,ENSP00000303147,0
2771,ENSP00000219833,1
718,ENSP00000323071,0
445420,ENSP00000264668,0
593,ENSP00000342889,1
5288209,ENSP00000371110,0
5538,ENSP00000377721,1
4160,ENSP00000302564,0
34521,ENSP00000371554,0
5076,ENSP00000337915,1
5076,ENSP00000378408,0
753,ENSP00000337332,1
5329102,ENSP00000268035,1
66414,ENSP00000251535,0
1349907,ENSP00000276410,0
3461,ENSP00000000442,0
2170,ENSP00000244137,0
753,ENSP00000261835,1
2267,ENSP00000355279,0
4736,ENSP00000359353,0
1117,ENSP00000278742,1
1117,ENSP00000360519,1
1117,ENSP00000361275,1
934,ENSP00000357066,1
424,ENSP00000360519,0
445643,ENSP00000216194,0
3405,ENSP00000303575,0
445154,ENSP00000325425,1
5426,ENSP00000301645,0
114683,ENSP00000247207,0
942,ENSP00000261751,1
123970,ENSP00000362273,0
3059,ENSP00000311876,0
152945,ENSP00000355523,0
4205,ENSP00000340523,0
9933475,ENSP00000337825,1
305,ENSP00000264381,1
750,ENSP00000323549,1
9904,ENSP00000350425,0
2524,ENSP00000362344,0
1117,ENSP00000250378,1
7019,ENSP00000354612,0
3547,ENSP00000382697,1
942,ENSP00000342070,0
3016,ENSP00000360777,0
2130,ENSP00000280700,0
1050,ENSP00000356480,0
54797,ENSP00000290866,1
996,ENSP00000398655,0
3363,ENSP00000061240,0
5472495,ENSP00000285930,1
6279,ENSP00000363822,1
446157,ENSP00000381333,0
3086685,ENSP00000301146,0
5056,ENSP00000325425,1
124886,ENSP00000335620,1
3671,ENSP00000349320,0
2724385,ENSP00000240327,0
446512,ENSP00000335084,1
5770,ENSP00000391826,0
456201,ENSP00000267101,0
4659569,ENSP00000274545,0
3413,ENSP00000362481,0
24267,ENSP00000375892,0
1132,ENSP00000308720,0
5314,ENSP00000315602,0
312,ENSP00000443194,1
2797,ENSP00000000233,0
36314,ENSP00000245552,0
44668,ENSP00000226444,0
14917,ENSP00000300093,0
51550,ENSP00000393333,1
312,ENSP00000297494,1
4100,ENSP00000023897,0
72968,ENSP00000362353,0
3913,ENSP00000324124,0
5202,ENSP00000219789,0
54687,ENSP00000443459,0
468595,ENSP00000303709,0
72172,ENSP00000260447,0
1204,ENSP00000276410,1
107688,ENSP00000264381,1
5515,ENSP00000338018,1
2802,ENSP00000316854,0
60961,ENSP00000343690,0
54586,ENSP00000322909,0
5936,ENSP00000344220,0
10634,ENSP00000328173,0
5311101,ENSP00000355517,0
5056,ENSP00000257770,0
2247,ENSP00000355192,0
312,ENSP00000229135,1
2968,ENSP00000344193,0
2662,ENSP00000301645,0
104842,ENSP00000368752,0
679,ENSP00000001008,1
5894,ENSP00000362361,1
2581,ENSP00000228476,0
5381226,ENSP00000290349,0
3054,ENSP00000231509,1
191,ENSP00000303424,1
3202,ENSP00000265734,0
3585,ENSP00000341189,0
5005,ENSP00000282096,0
5280723,ENSP00000368439,0
10133,ENSP00000245312,1
5582,ENSP00000263038,0
4819,ENSP00000343925,0
5702160,ENSP00000312606,0
4011,ENSP00000348831,0
1117,ENSP00000419425,1
5833,ENSP00000361021,0
5267,ENSP00000352702,0
593,ENSP00000215587,1
4196,ENSP00000355866,0
2153,ENSP00000418287,0
65064,ENSP00000305714,0
942,ENSP00000385026,1
1117,ENSP00000368752,1
2801,ENSP00000345023,0
1548886,ENSP00000385746,0
312,ENSP00000464149,1
5408,ENSP00000343925,1
753,ENSP00000361850,1
753,ENSP00000353099,1
3143,ENSP00000274192,0
5983,ENSP00000234111,0
6741,ENSP00000368552,0
6018,ENSP00000396308,0
3086671,ENSP00000265734,0
1798,ENSP00000300900,1
2118,ENSP00000366093,0
23994,ENSP00000308938,1
2534,ENSP00000335084,1
291,ENSP00000251810,0
5210,ENSP00000357067,0
3158,ENSP00000357907,0
5656,ENSP00000420168,0
312,ENSP00000357204,1
6917908,ENSP00000298472,0
94701,ENSP00000343657,0
5032,ENSP00000355523,0
9933475,ENSP00000360576,0
5562,ENSP00000302967,1
3562,ENSP00000360541,0
1541,ENSP00000297373,0
119828,ENSP00000331831,0
247,ENSP00000236826,0
5526,ENSP00000250971,0
23994,ENSP00000262545,1
6437850,ENSP00000363676,0
60184,ENSP00000262186,0
5139,ENSP00000351908,0
9782,ENSP00000301071,0
2769,ENSP00000337915,1
2561,ENSP00000354499,0
1132,ENSP00000280346,1
72438,ENSP00000396308,1
11243969,ENSP00000408526,0
23994,ENSP00000320147,1
5310985,ENSP00000342070,0
5310985,ENSP00000306512,0
1117,ENSP00000364114,1
1117,ENSP00000260682,1
4380,ENSP00000292823,0
7370,ENSP00000317985,0
753,ENSP00000250378,1
5567,ENSP00000235521,0
757,ENSP00000308032,0
5530,ENSP00000360372,1
66414,ENSP00000363641,0
16197727,ENSP00000358327,0
444033,ENSP00000231449,0
89594,ENSP00000260116,0
216326,ENSP00000292147,0
2807,ENSP00000347495,0
2130,ENSP00000351035,0
5029,ENSP00000389103,0
753,ENSP00000332771,0
3793,ENSP00000003100,1
6505803,ENSP00000285949,0
5280346,ENSP00000252996,0
16132139,ENSP00000451560,1
1405,ENSP00000363092,0
3913,ENSP00000276651,0
4584,ENSP00000335084,1
1065,ENSP00000222982,1
5372,ENSP00000362115,0
23994,ENSP00000301634,1
450,ENSP00000325120,1
753,ENSP00000447149,0
23932,ENSP00000266971,1
1821,ENSP00000263980,0
2462,ENSP00000341390,1
10096344,ENSP00000341551,0
750,ENSP00000419425,1
5280346,ENSP00000366156,0
753,ENSP00000304697,1
2662,ENSP00000260682,1
5329102,ENSP00000266970,1
82146,ENSP00000419692,1
5324345,ENSP00000266971,0
312,ENSP00000300605,1
23994,ENSP00000349576,1
18794,ENSP00000345659,1
3042,ENSP00000411593,0
2732,ENSP00000324806,0
13342,ENSP00000353731,0
1117,ENSP00000269033,1
2120,ENSP00000297991,0
4984,ENSP00000364709,0
6380,ENSP00000346148,0
4114,ENSP00000301141,1
3913,ENSP00000436318,0
446512,ENSP00000324804,1
10607,ENSP00000310219,0
1117,ENSP00000288135,1
6446,ENSP00000428426,0
2968,ENSP00000366093,0
5052,ENSP00000358414,0
3793,ENSP00000337450,1
107706,ENSP00000265838,0
5287844,ENSP00000350941,1
3295,ENSP00000295087,0
2156,ENSP00000320147,0
3042,ENSP00000275300,0
16132139,ENSP00000355523,0
3547,ENSP00000331831,0
2807,ENSP00000292513,1
6426631,ENSP00000275605,0
107971,ENSP00000345659,0
11243969,ENSP00000325863,0
60852,ENSP00000359285,0
312,ENSP00000230048,1
119,ENSP00000410732,1
443379,ENSP00000374467,0
1614,ENSP00000261900,0
148121,ENSP00000285930,0
784,ENSP00000378359,0
5865,ENSP00000306866,0
2161,ENSP00000344822,1
3382,ENSP00000335304,0
4179,ENSP00000290597,0
3675,ENSP00000280346,0
1117,ENSP00000356480,1
1051,ENSP00000341117,1
23925,ENSP00000231751,1
3285,ENSP00000206249,1
2153,ENSP00000319501,0
41774,ENSP00000264914,0
1080,ENSP00000245960,0
43815,ENSP00000335620,0
65110,ENSP00000419970,0
4488,ENSP00000219833,0
2162,ENSP00000288139,1
753,ENSP00000309845,1
134018,ENSP00000261890,0
2170,ENSP00000322617,0
97272,ENSP00000326031,0
4020,ENSP00000375730,0
6337614,ENSP00000333568,0
5281081,ENSP00000278407,0
657378,ENSP00000227507,0
20469,ENSP00000357873,0
3396,ENSP00000328173,0
5038,ENSP00000464149,1
5056,ENSP00000354612,1
5936,ENSP00000376176,0
3339,ENSP00000267568,0
6291,ENSP00000334592,0
107971,ENSP00000336687,0
1117,ENSP00000261669,1
2826,ENSP00000270349,1
23994,ENSP00000221801,0
3304,ENSP00000222982,0
501640,ENSP00000275605,0
3008,ENSP00000247970,0
23994,ENSP00000241261,1
23931,ENSP00000308541,1
23930,ENSP00000216714,1
3696,ENSP00000312606,0
424,ENSP00000345659,0
5478,ENSP00000339399,0
5280363,ENSP00000393333,1
5314,ENSP00000295055,0
187,ENSP00000436318,0
5202,ENSP00000350491,0
312,ENSP00000357727,1
2833,ENSP00000361021,0
21722,ENSP00000363046,0
222528,ENSP00000263341,0
6000,ENSP00000219054,0
445154,ENSP00000228740,1
4894,ENSP00000234454,0
784,ENSP00000305974,0
4900,ENSP00000333568,0
2170,ENSP00000463999,0
441300,ENSP00000319788,0
65856,ENSP00000377527,0
961,ENSP00000266971,1
6426631,ENSP00000443459,0
5282280,ENSP00000403852,0
2797,ENSP00000253004,0
1117,ENSP00000227868,1
11301,ENSP00000264832,0
89594,ENSP00000274547,0
213023,ENSP00000289575,0
5757,ENSP00000295640,0
961,ENSP00000353770,1
951,ENSP00000356671,0
2153,ENSP00000341390,0
3675,ENSP00000236671,0
5556,ENSP00000359693,0
5360696,ENSP00000227868,0
3016,ENSP00000256104,0
3086686,ENSP00000455607,1
1986,ENSP00000345771,0
206042,ENSP00000368645,0
3003,ENSP00000261733,0
936,ENSP00000285930,0
667490,ENSP00000308541,0
681,ENSP00000291294,1
5281707,ENSP00000230671,0
16132139,ENSP00000325863,0
5329099,ENSP00000463999,1
5478,ENSP00000301645,0
424,ENSP00000268053,0
392622,ENSP00000361125,0
216239,ENSP00000263331,0
123885,ENSP00000347689,0
1117,ENSP00000250559,1
3585,ENSP00000353904,0
5567,ENSP00000343027,0
1117,ENSP00000219479,1
6013,ENSP00000353820,1
23994,ENSP00000386284,1
4599,ENSP00000373884,0
60961,ENSP00000325425,1
3696,ENSP00000219833,1
3062,ENSP00000318820,0
23994,ENSP00000356480,1
16133831,ENSP00000362353,1
60961,ENSP00000261900,1
1210,ENSP00000317842,0
312,ENSP00000221859,0
5381,ENSP00000419027,0
160,ENSP00000292513,1
23925,ENSP00000372326,1
5281605,ENSP00000290349,0
9642,ENSP00000231509,1
12560,ENSP00000212015,0
14985,ENSP00000355518,0
1548952,ENSP00000314151,0
151166,ENSP00000262187,0
4196,ENSP00000221742,0
338,ENSP00000238379,0
26757,ENSP00000363115,0
2534,ENSP00000350491,0
3165,ENSP00000266971,0
222528,ENSP00000232975,1
54687,ENSP00000360991,0
5732,ENSP00000348897,1
4528,ENSP00000270349,1
1117,ENSP00000286301,1
3198,ENSP00000312262,0
745,ENSP00000295256,1
2783,ENSP00000304283,0
5645,ENSP00000245312,1
444033,ENSP00000258418,0
65076,ENSP00000331746,0
4976,ENSP00000262033,0
6450551,ENSP00000288135,1
5578,ENSP00000264193,0
15602694,ENSP00000354511,1
5011,ENSP00000325425,0
312,ENSP00000370517,0
399618,ENSP00000285949,0
187,ENSP00000407546,1
6230,ENSP00000223366,0
757,ENSP00000265689,0
3003,ENSP00000356958,1
312,ENSP00000340278,1
2462,ENSP00000257549,0
5281969,ENSP00000328777,0
951,ENSP00000359793,1
54688,ENSP00000368066,0
801,ENSP00000231487,1
4055,ENSP00000337773,1
5281707,ENSP00000219054,0
753,ENSP00000306561,1
291,ENSP00000395473,0
3035905,ENSP00000360519,0
610479,ENSP00000261416,0
119058,ENSP00000247207,0
3310,ENSP00000341189,0
394347,ENSP00000261751,0
41774,ENSP00000447378,1
23925,ENSP00000369530,1
11556427,ENSP00000356729,0
114866,ENSP00000362115,0
1117,ENSP00000360154,1
68740,ENSP00000262033,0
1541,ENSP00000218099,0
5284627,ENSP00000297258,0
2332,ENSP00000361850,1
9270,ENSP00000342056,0
5420,ENSP00000357461,0
1210,ENSP00000342850,0
312,ENSP00000306866,1
1117,ENSP00000356425,1
151165,ENSP00000216774,0
4122,ENSP00000408526,0
15,ENSP00000356438,0
119182,ENSP00000341551,0
23994,ENSP00000364731,1
10140,ENSP00000235835,0
4493,ENSP00000263431,0
1117,ENSP00000264832,1
6010,ENSP00000257549,0
23991,ENSP00000313681,0
1810907,ENSP00000284981,0
222528,ENSP00000371138,0
65076,ENSP00000258385,0
3397,ENSP00000262948,0
3151,ENSP00000356694,0
5453,ENSP00000332139,0
718,ENSP00000345771,1
23977,ENSP00000263431,1
424,ENSP00000308176,0
10635,ENSP00000206249,1
1117,ENSP00000346577,1
4920,ENSP00000242375,1
